"","school","season","champion","points","points_allowed","total_yards","total_yards_allowed","passing_yards","rushing_yards","completions","attempts","completion_pct","yards_per_pass","yards_per_rush","turnovers","interceptions_thrown","interceptions_made","first_downs","third_down_pct","possession_minutes","games","total_yards_pg","total_yards_allowed_pg","points_pg","points_allowed_pg","total_wins","total_losses","conference_losses","home_losses","away_losses","postseason_wins","postseason_losses","conference","off_plays","off_drives","off_ppa","off_total_ppa","off_success_rate","off_explosiveness","off_power_success","off_stuff_rate","off_line_yds","off_line_yds_total","off_second_lvl_yds","off_second_lvl_yds_total","off_open_field_yds","off_open_field_yds_total","off_total_opportunities","off_pts_per_opp","off_field_pos_avg_start","off_field_pos_avg_predicted_points","off_havoc_total","off_havoc_front_seven","off_havoc_db","off_standard_downs_rate","off_standard_downs_ppa","off_standard_downs_success_rate","off_standard_downs_explosiveness","off_passing_downs_rate","off_passing_downs_ppa","off_passing_downs_success_rate","off_passing_downs_explosiveness","off_rushing_plays_rate","off_rushing_plays_ppa","off_rushing_plays_total_ppa","off_rushing_plays_success_rate","off_rushing_plays_explosiveness","off_passing_plays_rate","off_passing_plays_ppa","off_passing_plays_total_ppa","off_passing_plays_success_rate","off_passing_plays_explosiveness","def_plays","def_drives","def_ppa","def_total_ppa","def_success_rate","def_explosiveness","def_power_success","def_stuff_rate","def_line_yds","def_line_yds_total","def_second_lvl_yds","def_second_lvl_yds_total","def_open_field_yds","def_open_field_yds_total","def_total_opportunities","def_pts_per_opp","def_field_pos_avg_start","def_field_pos_avg_predicted_points","def_havoc_total","def_havoc_front_seven","def_havoc_db","def_standard_downs_rate","def_standard_downs_ppa","def_standard_downs_success_rate","def_standard_downs_explosiveness","def_passing_downs_rate","def_passing_downs_ppa","def_passing_downs_total_ppa","def_passing_downs_success_rate","def_passing_downs_explosiveness","def_rushing_plays_rate","def_rushing_plays_ppa","def_rushing_plays_total_ppa","def_rushing_plays_success_rate","def_rushing_plays_explosiveness","def_passing_plays_rate","def_passing_plays_ppa","def_passing_plays_total_ppa","def_passing_plays_success_rate","def_passing_plays_explosiveness"
"1","Alabama",2009,TRUE,412,143,5379,3145,2652,2806,206,334,0.616766467065868,7.94011976047904,5.10181818181818,10,4,20,273,0.406593406593407,264.783333333333,13,413.769230769231,241.923076923077,31.6923076923077,11,14,0,0,0,0,1,0,"SEC",829,154,0.0684586263682526,56.7522012592814,0.434258142340169,0.83376425197246,0.803571428571429,0.173076923076923,3.0517094017094,1428,1.1025641025641,516,1.07478632478632,503,112,-0.125,65.3,1.8,0.021,0,0.021,0.689987937273824,0.0362888181549459,0.48951048951049,0.731257520580597,0.310012062726176,0.140058355154289,0.311284046692607,1.19253781184398,0.56453558504222,0.0429456871234417,20.0985815737707,0.427350427350427,0.743025327552853,0.400482509047045,0.151096108595366,50.1639080536616,0.397590361445783,1.237721528167,765,157,-0.0884361220925357,-67.6536334007898,0.326797385620915,0.961781685176591,0.692307692307692,0.233438485804416,2.41388012618297,765,0.804416403785489,255,0.50788643533123,0,62,0.112903225806452,70.9,-1.371,0.03,0,0.03,0.622222222222222,-0.172322855703778,0.376050420168067,0.766214004209118,0.377777777777778,0.0497302626789226,-43.9615120207814,0.245674740484429,1.45483259916501,0.41437908496732,-0.0692636372052425,-21.9565729940619,0.337539432176656,0.807686432516413,0.57124183006536,-0.100598425676845,-43.9615120207814,0.302059496567506,1.1799887984912
"2","Alabama",2011,TRUE,432,106,5201,2295,2651,2638,214,323,0.662538699690402,8.20743034055728,5.57716701902748,12,8,12,260,0.487012987012987,246.45,12,433.416666666667,191.25,36,8.83333333333333,12,1,1,1,0,1,0,"SEC",699,121,0.109738912534416,76.7074998615567,0.463519313304721,0.850940778860296,0.693877551020408,0.178272980501393,3.06490250696379,1100,1.15320334261838,414,1.25069637883008,449,88,-0.0795454545454545,67.9,1.622,0.049,0,0.049,0.705293276108727,0.0587074698293366,0.533468559837728,0.663516964117096,0.294706723891273,0.231867559396572,0.296116504854369,1.65901394734327,0.513590844062947,0.0500121518844587,17.9543625265207,0.437325905292479,0.750438368785095,0.459227467811159,0.218252020778887,70.0588986700229,0.461059190031153,1.14318749855718,534,119,-0.141141819995866,-75.3697318777924,0.279026217228464,0.876430240714694,0.653846153846154,0.256603773584906,1.91207547169811,507,0.550943396226415,146,0.335849056603774,0,42,-0.333333333333333,71.8,-1.267,0.03,0,0.03,0.586142322097378,-0.220881187510152,0.348242811501597,0.669200245820363,0.413857677902622,-0.0282077836521038,-28.0771590149154,0.180995475113122,1.44113197680175,0.49625468164794,-0.170330376908983,-45.1375498808806,0.290566037735849,0.713886812730499,0.49250936329588,-0.106757258611846,-28.0771590149154,0.250950570342205,1.17839157982178
"3","Alabama",2012,TRUE,500,139,5694,3198,2788,2906,199,300,0.663333333333333,9.29333333333333,5.5352380952381,15,3,17,275,0.467532467532468,454.766666666667,13,438,246,38.4615384615385,10.6923076923077,13,1,1,1,0,1,0,"SEC",680,131,0.199076591826225,135.372082441833,0.488235294117647,0.884443953089873,0.761904761904762,0.124668435013263,3.77612732095491,1424,1.46684350132626,553,1.26259946949602,476,106,0.0660377358490566,66.8,1.671,0.014,0,0.014,0.727941176470588,0.134254574303095,0.539393939393939,0.744379120660411,0.272058823529412,0.372519287361089,0.351351351351351,1.45978718783858,0.554411764705882,0.218329031727117,82.310044961123,0.511936339522546,0.757561975782633,0.423529411764706,0.200680620844468,57.7960188032067,0.430555555555556,1.22709606792166,652,134,-0.0197604691202779,-12.8838258664212,0.351226993865031,0.977858732817516,0.55,0.213592233009709,2.23980582524272,692,0.588996763754045,182,0.427184466019417,0,50,-0.14,74.8,-1.067,0.017,0,0.017,0.639570552147239,-0.100356754635212,0.407673860911271,0.70948915798674,0.360429447852761,0.123255067304094,39.46236920917,0.251063829787234,1.75112699927907,0.473926380368098,-0.166208047400997,-51.358286646908,0.317152103559871,0.626579022673734,0.519938650306748,0.116408168758614,39.46236920917,0.374631268436578,1.28750247261314
"4","Alabama",2015,TRUE,443,187,5493,3356,2786,2707,260,390,0.666666666666667,7.14358974358974,4.825311942959,17,10,16,290,0.362162162162162,440.383333333333,13,422.538461538462,258.153846153846,34.0769230769231,14.3846153846154,14,1,1,1,0,2,0,"SEC",996,178,0.211793766492023,210.946591426055,0.456827309236948,1.16280720794668,0.794871794871795,0.163873370577281,3.13370577281192,1683,1.17132216014898,629,1.41154562383613,758,104,3.55769230769231,67.2,1.639,0.021,0,0.021,0.679718875502008,0.1665346305157,0.51698670605613,0.97872197795072,0.320281124497992,0.307845287043656,0.329153605015674,1.77642464126654,0.539156626506024,0.160949481211687,86.4298714106759,0.461824953445065,0.93615309786505,0.43574297188755,0.331781273947715,143.993072893308,0.423963133640553,1.64657168240512,843,181,-0.0140396034132521,-11.8353856773716,0.31791221826809,1.35367574283521,0.636363636363636,0.25,2.32790697674419,801,0.761627906976744,262,0.784883720930233,0,72,2.22222222222222,72.3,-1.221,0.017,0,0.017,0.588374851720047,-0.137213508388078,0.352822580645161,1.08198437017175,0.411625148279953,0.162024537415317,23.8123309952093,0.268011527377522,1.86492294945999,0.408066429418743,-0.0906558803879899,-31.1856228534685,0.302325581395349,0.933983910810869,0.572953736654804,0.0493008923296259,23.8123309952093,0.308488612836439,1.76856191145901
"5","Alabama",2016,FALSE,527,153,6127,3222,2942,3185,244,371,0.657681940700809,7.92991913746631,5.73873873873874,19,9,14,283,0.472222222222222,407.966666666667,13,471.307692307692,247.846153846154,40.5384615384615,11.7692307692308,14,1,0,0,0,1,1,"SEC",941,173,0.236379655306098,222.433255643038,0.471838469713071,1.19654273553953,0.805194805194805,0.198841698841699,3.16158301158301,1638,1.40926640926641,730,2.28185328185328,1182,109,3.78899082568807,66.8,1.654,0.165,0.125,0.04,0.688629117959617,0.161867148935964,0.529320987654321,0.97379404796767,0.311370882040383,0.401171819564961,0.344709897610922,1.95300610026377,0.55047821466525,0.259168661050819,134.249366424324,0.507722007722008,1.0620448968222,0.427205100956429,0.238005113290218,95.6780555426676,0.398009950248756,1.62150833149542,853,182,-0.112509605953226,-95.9706938781015,0.320046893317702,1.20507357876788,0.627906976744186,0.248618784530387,1.66325966850829,602,0.740331491712707,268,0.743093922651934,0,78,1.78205128205128,70.3,-1.398,0.216,0.145,0.071,0.610785463071512,-0.126156294576412,0.35700575815739,0.974901747214588,0.389214536928488,-0.0910941698909367,-28.7076929111791,0.262048192771084,1.69716508070941,0.424384525205158,-0.169493558092335,-61.3566680294253,0.290055248618785,0.846733331440757,0.555685814771395,-0.060564752977171,-28.7076929111791,0.320675105485232,1.57462948981377
"6","Alabama",2018,FALSE,623,193,6857,3839,4231,2626,254,374,0.679144385026738,11.3128342245989,5.32657200811359,14,6,14,321,0.528169014084507,389.1,13,527.461538461538,295.307692307692,47.9230769230769,14.8461538461538,14,1,0,0,0,1,1,"SEC",788,143,0.437048860583269,344.394502139616,0.567258883248731,1.26136965527755,0.794117647058823,0.126288659793814,3.63788659793814,1412,1.54381443298969,599,1.26546391752577,491,111,4.54054054054054,68.7,1.494,0.107,0.071,0.035,0.748730964467005,0.340143915555718,0.601694915254237,1.05650287333736,0.251269035532995,0.725806020008802,0.464646464646465,2.051888216025,0.49238578680203,0.277779070148554,107.778279217639,0.572164948453608,0.867291617679663,0.49492385786802,0.619796311960676,241.720561664664,0.551282051282051,1.7506876071017,692,146,0.0805810630253602,55.7620956135493,0.354046242774566,1.35973042924971,0.655172413793103,0.229508196721311,2.49639344262295,761,0.895081967213115,273,1.20983606557377,0,76,2.86842105263158,73.1,-1.183,0.203,0.12,0.083,0.596820809248555,-0.105233561960506,0.382566585956416,1.00266467997528,0.403179190751445,0.35563998818365,59.5841524588396,0.311827956989247,2.00819466356419,0.440751445086705,-0.0173577991421706,-5.29412873836204,0.331147540983607,0.985227959159162,0.541907514450867,0.158891073223572,59.5841524588396,0.357333333333333,1.70155277179518
"7","Alabama",2020,TRUE,547,214,5976,3873,3895,2081,263,350,0.751428571428571,11.1285714285714,5.05097087378641,11,4,11,308,0.604838709677419,336.716666666667,11,543.272727272727,352.090909090909,49.7272727272727,19.4545454545455,13,0,0,0,0,2,0,"SEC",726,124,0.485728743816828,352.639068011017,0.578512396694215,1.30306133771653,0.8125,0.149560117302053,3.2850439882698,1120,1.2258064516129,418,1.12903225806452,385,98,5.18367346938776,70,1.416,0.105,0.067,0.038,0.776859504132231,0.37420330641,0.608156028368794,1.07186805786862,0.223140495867769,0.87400248886282,0.475308641975309,2.33292231158447,0.46969696969697,0.231270963105083,78.8633984188332,0.539589442815249,0.887277126628225,0.53030303030303,0.711105635304373,273.775669592184,0.612987012987013,1.62723207856504,669,127,0.1174303482045,78.5609029488104,0.375186846038864,1.38516996060015,0.710526315789474,0.182965299684543,2.63123028391167,834,0.981072555205047,311,0.990536277602524,0,68,2.88235294117647,73.9,-1.087,0.183,0.106,0.077,0.663677130044843,0.0258871999358665,0.405405405405405,1.13997689870889,0.336322869955157,0.29807549412127,57.4244463786832,0.315555555555556,2.0067861738456,0.473841554559043,0.0666765191486662,21.1364565701272,0.369085173501577,1.02578468249179,0.526158445440957,0.163137631757623,57.4244463786832,0.380681818181818,1.69896158402312
"8","Alabama",2025,FALSE,406,226,5063,3689,3551,1512,301,461,0.6529284164859,7.70281995661605,3.57446808510638,12,5,10,282,0.441988950276243,421.183333333333,13,389.461538461538,283.769230769231,31.2307692307692,17.3846153846154,10,3,2,1,1,0,0,"SEC",819,127,0.21870576080275,179.120018097453,0.440781440781441,1.26842753893759,0.672727272727273,0.183098591549296,2.83633802816901,1007,0.873239436619718,310,0.569014084507042,202,83,4.26506024096386,69.6,1.431,0.128,0.074,0.054,0.714285714285714,0.132835942878977,0.478632478632479,1.04981058038173,0.285714285714286,0.433380305612184,0.346153846153846,2.02414048209367,0.433455433455433,0.0499252358319932,17.7234587203576,0.414084507042254,0.823876008848164,0.554334554334554,0.371362080558402,168.598384573515,0.469162995594714,1.5758834216839,710,130,0.0676148452644426,48.0065401377543,0.371830985915493,1.25287855491619,0.723404255319149,0.201657458563536,2.72900552486188,988,0.99171270718232,359,1.36187845303867,0,57,3.33333333333333,71.5,-1.267,0.184,0.118,0.066,0.649295774647887,-0.0173736844131264,0.425162689804772,1.00988924058139,0.350704225352113,0.224963086956649,29.3959470442545,0.273092369477912,1.95325951976354,0.509859154929577,0.0960472658010397,34.7691102199764,0.378453038674033,1.06025555560183,0.471830985915493,0.0877490956544909,29.3959470442545,0.376119402985075,1.46075424881095
"9","Auburn",2010,TRUE,555,318,6470,4708,2876,3733,174,261,0.666666666666667,11.0191570881226,6.20099667774086,15,6,10,315,0.531034482758621,244.266666666667,13,497.692307692308,362.153846153846,42.6923076923077,24.4615384615385,14,0,0,0,0,1,0,"SEC",846,157,0.170204072922749,143.992645692645,0.498817966903073,0.89298817407508,0.791044776119403,0.163339382940109,3.41143375680581,1880,1.40834845735027,776,1.35208711433757,745,109,0.0642201834862385,70,1.447,0.015,0,0.015,0.73758865248227,0.0822464829850535,0.522435897435897,0.720210931411069,0.26241134751773,0.417436217612486,0.432432432432432,1.47971089395495,0.651300236406619,0.14173536811574,78.0961878317725,0.500907441016334,0.755180370455367,0.328605200945626,0.272045414635449,75.6286252686549,0.464028776978417,1.38095654745569,846,157,0.0248495073265699,21.0226831982781,0.41725768321513,0.924270964411773,0.714285714285714,0.259259259259259,2.5962962962963,911,1.04273504273504,366,0.566951566951567,0,84,-0.166666666666667,72.1,-1.271,0.019,0,0.019,0.6548463356974,-0.0509272019548162,0.467509025270758,0.726364899479557,0.3451536643026,0.168617647538515,49.9890962621123,0.321917808219178,1.46956533481012,0.414893617021277,-0.0690892773883073,-24.2503363632959,0.401709401709402,0.733138813176858,0.569739952718676,0.103711817971187,49.9890962621123,0.4149377593361,1.12801417165913
"10","Boise State",2006,FALSE,473,187,5091,3285,2547,2674,184,276,0.666666666666667,9.22826086956522,5.18217054263566,18,8,17,258,0.45,225.183333333333,12,424.25,273.75,39.4166666666667,15.5833333333333,13,0,0,0,0,1,0,"Mountain West",642,125,0.141593786994739,90.9032112506225,0.467289719626168,0.902824728680875,0.709090909090909,0.18848167539267,3.2434554973822,1239,1.31675392670157,503,1.25130890052356,478,88,0,67.4,1.612,0.019,0,0.019,0.727414330218069,0.0859592116733906,0.522483940042827,0.750238709174686,0.272585669781931,0.290058625137995,0.32,1.56766381367213,0.595015576323987,0.0734422984460091,28.0549580063755,0.476439790575916,0.748939975138544,0.38785046728972,0.269701575754524,67.1556923628764,0.429718875502008,1.29764282474464,597,121,0.0375707670341326,22.4297479193772,0.390284757118928,0.904829009766119,0.535714285714286,0.212,2.55,638,0.896,224,0.656,0,60,-0.233333333333333,72.3,-1.236,0.034,0,0.034,0.663316582914573,-0.029775138504609,0.434343434343434,0.749738291940168,0.336683417085427,0.170252252573146,50.4378096553202,0.303482587064677,1.34213398461962,0.418760469011725,-0.0990509063323191,-24.7627265830798,0.344,0.626947684425855,0.569514237855946,0.148346498986236,50.4378096553202,0.411764705882353,1.14394995405533
